aiohttp,33119,28.81,29.12,29.46,28.98,0,0,0
blacksheep,86422,8.82,14.61,15.53,11.08,0,0,0
baize,41898,22.14,25.75,30.23,22.91,0,0,0
starlette,34544,33.70,35.93,37.27,27.74,0,0,0
django,11925,77.14,81.02,99.23,80.36,0,0,0
fastapi,29730,38.57,41.17,42.69,32.24,0,0,0
tornado,31447,30.37,30.58,30.85,30.50,0,0,0
aiohttp,31653,30.15,30.72,31.24,30.30,0,0,0
blacksheep,83014,11.26,15.05,16.03,11.55,0,0,0
baize,39124,23.51,27.65,32.85,24.56,0,0,0
starlette,32567,23.26,40.12,42.52,29.43,0,0,0
django,10114,88.56,99.59,120.66,94.56,0,0,0
fastapi,28263,26.83,46.05,49.78,33.89,0,0,0
tornado,29521,32.49,33.11,33.72,32.50,0,0,0
